examples.others.auxClasses.AuxClass.factorial(int);examples.others.OthersTest.testingMultipleMethods();examples.others.OthersTest.testMethodWithAuxMethods();examples.others.OthersTest.testFactorial();examples.others.OthersTest.testFactorial_zero();examples.others.SimpleTestPath.simpleTestPath();examples.junit5.RepeatedTestAnnotation.test1();examples.junit5.TestAnnotation.test1();examples.junit5.MixedJUnit5Annotations.repeatedTestAnnotation();examples.junit5.MixedJUnit5Annotations.parameterizedTestAnnotation();examples.junit5.MixedJUnit5Annotations.testAnnotation();examples.junit5.ParameterizedTestAnnotation.test1()
examples.complexTests.TestClass_ComplexTests();examples.complexTests.ComplexTests.moreOneConstructor();examples.complexTests.ComplexTests.moreOneConstructorAndStaticMethod()
examples.overloadedMethod.OverloadClass();examples.overloadedMethod.OverloadTest.testOverloadedMethod();examples.overloadedMethod.OverloadTest.testOverloadedMethod2()
examples.builderPattern.Person.PersonBuilder.age(int);examples.builderPattern.BuilderPatternTest.testBuilderPattern()
examples.others.auxClasses.AuxClass.identity(int, int, int, int, int);examples.others.MultiargsTest.methodCallMultiLineArgsTest()
examples.chainedCalls.Calculator.setNumber(float);examples.chainedCalls.ChainedCalls.testChainedMethods();examples.chainedCalls.ChainedCalls.testChainedMethodsInForLoop()
examples.controlFlow.TestClass_ControlFlow.ifElseMethod(int);examples.controlFlow.ControlFlowTest.ifElseTest2();examples.controlFlow.ControlFlowTest.ifElseTest3();examples.controlFlow.ControlFlowTest.ifElseTest_earlyReturn();examples.controlFlow.ControlFlowTest.ifElseTest()
examples.builderPattern.Person.PersonBuilder.email(String);examples.builderPattern.BuilderPatternTest.testBuilderPattern()
examples.methodCalledByTestedInvoked.MethodCalledByTestedInvoked_Class.A();examples.methodCalledByTestedInvoked.MethodCalledByTestedInvoked_Test.T()
examples.complexTests.TestClass_ComplexTests.factorial_constructor();examples.complexTests.ComplexTests.testForConstructorAndMethod()
examples.builderPattern.Person.PersonBuilder.firstName(String);examples.builderPattern.BuilderPatternTest.testBuilderPattern()
examples.controlFlow.TestClass_ControlFlow.doWhileMethod(int, int);examples.controlFlow.ControlFlowTest.doWhileTest()
examples.others.auxClasses.AuxClass.getNumber();examples.others.OthersTest.onlyOneMethod()
examples.others.auxClasses.AuxClass.testObjParam(Object);examples.others.OthersTest.testParamSignature_object()
examples.overloadedMethod.OverloadClass.overloadedMethod(int);examples.overloadedMethod.OverloadTest.testOverloadedMethod2()
examples.methodCalledByTestedInvoked.MethodCalledByTestedInvoked_Class(boolean);examples.methodCalledByTestedInvoked.MethodCalledByTestedInvoked_Test.T();examples.methodCalledByTestedInvoked.MethodCalledByTestedInvoked_Test.T2()
examples.others.auxClasses.AuxClass.countTotalArguments(Object[]);examples.junit5.ParameterizedTestAnnotation.testWithEnumSourceInclude();examples.junit5.ParameterizedTestAnnotation.testWithEnumSourceIncludeUsingInterface();examples.junit5.ParameterizedTestAnnotation.test1()
examples.others.auxClasses.AuxClass.threePaths(int);examples.others.MultipleTestPaths.ThreeTestPathsTest();examples.others.AssertFailTest.assertFailAtTheEndTest();examples.others.AssertFailTest.assertFailInTheMiddleTest()
examples.controlFlow.TestClass_ControlFlow.inlineDoWhile(int);examples.controlFlow.ControlFlowTest.inlineDoWhile()
examples.builderPattern.Person.PersonBuilder.lastName(String);examples.builderPattern.BuilderPatternTest.testBuilderPattern()
examples.innerClass.OuterClass.InnerClass(OuterClass, String);examples.innerClass.InnerClassTest.test1()
examples.overloadedMethod.OverloadClass.overloadedMethod();examples.overloadedMethod.OverloadTest.testOverloadedMethod()
examples.builderPattern.Person.PersonBuilder.build();examples.builderPattern.BuilderPatternTest.testBuilderPattern()
examples.others.TestMethodAndInvokedInTheSameFile.sum(int, int);examples.others.TestMethodAndInvokedInTheSameFile.methodInSameFileOfTestMethod()
examples.others.auxClasses.AuxClass.parseLetters_withInternalCall(char[]);examples.others.OthersTest.testInternalCall()
examples.others.auxClasses.AuxClass.anonymousObjectReturn();examples.others.OthersTest.anonymousObjectReturn();examples.junit5.RepeatedTestAnnotation.test2();examples.junit5.RepeatedTestAnnotation.test3()
examples.controlFlow.TestClass_ControlFlow.tryCatchMethod_catch();examples.controlFlow.ControlFlowTest.tryCatchTest2()
examples.others.auxClasses.AuxClass.parseLetters_noInternalCall(CharSequence);examples.others.OthersTest.testStaticMethod_charSequence()
examples.controlFlow.TestClass_ControlFlow.switchCaseMethod(char);examples.controlFlow.ControlFlowTest.switchCaseTest()
examples.complexTests.TestClass_ComplexTests(boolean);examples.complexTests.ComplexTests.moreOneConstructor();examples.complexTests.ComplexTests.moreOneConstructorAndStaticMethod()
